,species,section
1,Quercus_dolicholepis,Ilex
2,Quercus_chungii,Cyclobalanopsis
3,Quercus_agrifolia,Lobatae
4,Quercus_kelloggii,Lobatae
5,Quercus_vacciniifolia,Protobalanus
6,Quercus_chenii,Cerris
7,Quercus_suber,Cerris
8,Quercus_salicina,Cyclobalanopsis
9,Quercus_patelliformis,Cyclobalanopsis
10,Quercus_gilva,Cyclobalanopsis
11,Quercus_championii,Cyclobalanopsis
12,Quercus_rubra,Lobatae
13,Quercus_palustris,Lobatae
14,Quercus_texana,Lobatae
15,Quercus_tomentella,Protobalanus
16,Quercus_chrysolepis,Protobalanus
17,Quercus_pontica,Ponticae
18,Quercus_sadleriana,Ponticae
19,Quercus_variabilis,Cerris
20,Quercus_acutissima,Cerris
21,Quercus_castaneifolia,Cerris
22,Quercus_cerris,Cerris
23,Quercus_engleriana,Ilex
24,Quercus_pseudosetulosa,Ilex
25,Quercus_ilex,Ilex
26,Quercus_glauca,Cyclobalanopsis
27,Quercus_myrsinifolia,Cyclobalanopsis
28,Quercus_tiaoloshanica,Cyclobalanopsis
29,Quercus_phellos,Lobatae
30,Quercus_fusiformis,Virentes
31,Quercus_virginiana,Virentes
32,Quercus_dumosa,Quercus
33,Quercus_semecarpifolia,Ilex
34,Quercus_edithiae,Cyclobalanopsis
35,Quercus_ellipsoidalis,Lobatae
36,Quercus_pagoda,Lobatae
37,Quercus_spinosa,Ilex
38,Quercus_hui,Cyclobalanopsis
39,Quercus_fleuryi,Cyclobalanopsis
40,Quercus_sinuata,Quercus
41,Quercus_rugosa,Quercus
42,Quercus_engelmannii,Quercus
43,Quercus_longispica,Ilex
44,Quercus_stellata,Quercus
45,Quercus_margarettae,Quercus
46,Quercus_muehlenbergii,Quercus
47,Quercus_prinoides,Quercus
48,Quercus_lobata,Quercus
49,Quercus_montana,Quercus
50,Quercus_rehderiana,Ilex
51,Quercus_guyavifolia,Ilex
52,Quercus_aquifolioides,Ilex
53,Quercus_senescens,Ilex
54,Quercus_pannosa,Ilex
55,Quercus_macrocarpa,Quercus
56,Quercus_robur,Quercus
57,Quercus_michauxii,Quercus
58,Quercus_alba,Quercus
59,Quercus_monimotricha,Ilex
60,Quercus_pseudosemecarpifolia,Ilex
61,Quercus_lyrata,Quercus
62,Quercus_bicolor,Quercus
63,Quercus_canariensis,Quercus
64,Quercus_mongolica,Quercus
65,Quercus_wutaishanica,Quercus
66,Quercus_petraea,Quercus
67,Quercus_pubescens,Quercus
68,Quercus_fabri,Quercus
69,Quercus_dentata,Quercus
70,Quercus_griffithii,Quercus
71,Quercus_serrata,Quercus
72,Quercus_aliena,Quercus